 	name	group
0	"Giacomo Barzon"	1
1	"Karan Kabbur Hanumanthappa Manjunatha"	2
2	"Wolfgang Rugel"	2
3	"Enzo Orlandini"	2
4	"Marco Baiesi"	2
5	"Giorgio Nicoletti"	2
6	"Benedetta Mariani"	2
7	"Marco Formentin"	2
8	"Samir Suweis"	2
9	"María Clemencia Ortíz Barajas"	2
10	"Mohinish Shukla"	2
11	"Ramón Guevara"	2
12	"Judit Gervain"	2
14	"Modelling the deceleration of COVID-19 spreading"	4
15	"Criticality and network structure drive emergent oscillations in a stochastic whole-brain model"	4
16	"Prenatal experience with language shapes the brain"	3
